priority_candidate,name,city,typology,typology_detail,segment,channel,project_role,physical_exhibition,exhibition_evidence,price_range,price_signal,service_scope,email,phone,address,main_channel,source_language,source_url,materials_brands_mentioned,key_messages,raw_notes
No,Firuza МЧФ,Namangan,Contractor,,D. Contractors / EPC Firms,Retail,,Not determinable,,Medium,Not determinable,Design+Build,,+998... (number masked in directory listing),"Namangan region, Namangan, ul. Amira Temura, 97",Not determinable,Russian,https://top.uz/company/firuza-mchf,,Formally registered general construction/repair organization (МЧФ - private family firm) in Namangan,One of only 5 companies formally listed under 'Construction and construction-repair organizations' for Namangan region on Top.uz directory.
No,Mirmax Industrial,Namangan,Contractor,,D. Contractors / EPC Firms,Retail,,Not determinable,,Medium,Not determinable,Design+Build,,,Namangan region,Not determinable,Russian,https://top.uz/company/mirmax-industrial-ooo,,"Customer review: ""Very professional work"" (""Очень профессионально работают"")",Identified via a positive customer review on the Top.uz Namangan construction-companies category page; no independent website scraped.
No,Leader Key House,Namangan,Contractor,Turnkey renovation/repair company,D. Contractors / EPC Firms,Retail,,Not determinable,,Medium,Not determinable,Design+Build,,,Namangan region,Not determinable,Russian,https://top.uz/company/leader-key-house-ooo,,"Name signals turnkey ('key house') renovation positioning | Mixed reviews: some praise timeliness/quality, others allege serious contract/payment issues - reputational risk flagged","CAUTION: reviews on Top.uz are notably mixed, including a serious fraud allegation (unpaid workers/clients) alongside positive reviews. Recommend independent verification before any partnership outreach."
No,Chortoq Samo Qurilish Ta'mir,Namangan,Contractor,,D. Contractors / EPC Firms,Retail,,Not determinable,,Medium,Not determinable,Design+Build,,+998... (number masked in directory listing),"Namangan region, Chartak, pos. Koroskhon, 33",Not determinable,Uzbek/Russian,https://top.uz/company/chortoq-samo-qurilish-ta-mir-ooo,,"Formally registered construction/repair organization based in Chartak district, Namangan region",Based in Chartak (a district town within Namangan region rather than Namangan city itself) - included for regional coverage; verify proximity/relevance to Namangan city retail strategy.
No,MJ Developers (ЖК Namangan Square),Namangan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,"Comfort-class (mid-to-upper-mid market), described as 'international developer' with premium finish standards",Design+Build+Develop,,,Namangan city (Namangan Square project; developer HQ location not specified),Website,Russian,https://salomuy.uz/ru/housing-estate/201655,,"""Namangan Square is a landmark comfort-class residential complex from international developer MJ Developers"" - positioned as a 'city within a city' | 9-storey brick-built building with finished ('чистовая') interiors, underground+open parking, passenger elevator | Project fully built and 100% sold out, cited as proof of strong developer reputation and demand","Described as an 'international developer' active since 2010; this project is fully sold/delivered, so relevant for future project pipeline follow-up rather than immediate sample placement. Developer profile page: https://salomuy.uz/ru/developers/100687"
No,TXT Group (ЖК Central Avenue Namangan),Namangan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,"Large active developer with a dedicated sales/project page and hotline; likely has a sales office in Namangan given the scale of the project, but no address confirmed.",High,"Explicitly premium ('премиальный стиль жизни'); investment-grade pricing example given (~480M UZS / ~$37,354 apartment)",Design+Build+Develop,,1361 (national sales hotline); +7 (495) 641-35-35 (head office),"Ulitsa A. Khodzhaeva, central Namangan (Central Avenue project site)",Multiple,Russian,https://txt.group/ru/projects/central-avenue.html,,"""Central Avenue - a new premium lifestyle in Namangan"" - explicitly premium/luxury positioning | 22-storey, 5-block complex described as 'the most beautiful building in Namangan', with unique asymmetric facade, LED facade lighting, underground parking, and ground-floor retail/commercial space | Part of a larger national developer (TXT Group, operating since 2011) active across Uzbekistan","Strongest premium/high-end developer signal found for Namangan - large-scale, architecturally distinctive, explicitly marketed as premium, with ground-floor commercial/retail space that could be a natural showroom/POS location. Social channels: Instagram @txtgroup.uzb, Telegram t.me/txtgroupuzb, Facebook txtgroup.uzb."
No,Granit va Mramor,Namangan,Kitchen & Bath,Natural stone (granite/marble) products retailer/fabricator - relevant as a premium materials showroom,A. Premium Materials & Bath Showrooms,Retail,,Yes,Listed on Yandex Maps as a physical shop/workshop selling granite and marble stone products at a specific street address in Namangan.,High,"v2.0: inferred from segment positioning (A. Premium Materials & Bath Showrooms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,,,Namangan (street address on Yandex Maps listing),Not determinable,Russian,https://yandex.ru/maps/org/granit_va_mramor/2925973098/,"Granite, Marble (natural stone)",Direct name translation 'Granite and Marble' - core business is natural stone products/countertops,Closest match found in Namangan to a 'premium materials showroom' (stone/quartz/marble) category; natural stone competitor/adjacent category to Cosentino's Silestone/Dekton/Sensa surfaces - potentially relevant both as a competitor benchmark and as a channel partner conversation.
No,Mramor Granit Master (@granit.namangan),Namangan,Kitchen & Bath,Granite/marble/tile fabrication and installation - premium materials showroom category,A. Premium Materials & Bath Showrooms,Retail,,Not determinable,,High,"v2.0: inferred from segment positioning (A. Premium Materials & Bath Showrooms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,,,Namangan,Instagram,Russian,https://www.instagram.com/reel/DZu0zRwo9u-/,"Granite, Marble, Ceramic tile ('керамогранит', 'кафель', 'мрамор', 'гранит')","Positions around 'КЕРАМОГРАНИТ | КАФЕЛЬ | ГРАНИТ | МРАМОР' (porcelain tile | tile | granite | marble) - directly relevant natural/engineered stone materials retailer | Regularly posts installation/fabrication project reels (countertops, staircases, cladding)","A second, related Instagram account 'master.granit.official' was also found using very similar branding/content - may be the same business or a close local competitor; worth disambiguating before outreach."
No,Renaissance Design (rdesign.uz),Samarkand,Hybrid,Interior Design + Architecture Studio,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,"Listed as a studio/office on Yandex Maps and 2GIS ('Renaissance', 'Архитектурное бюро'); no explicit product showroom mentioned.",Medium,Not determinable,Design+Build,info@rdesign.uz,+998 91 555 24 04 / +998 33 094 55 55,"Samarkand, ul. Davlatabad 14 (also listed as ul. Mirzo Ulugbeka 58)",Multiple,Russian/English,https://www.facebook.com/rdesignuz/ ; https://yandex.ru/maps/org/renaissance/144747054398/ ; https://samcity.uz/catalog/item/studiya-renaissance-design,Not determinable,Full-cycle interior design and architectural design projects | Any project executed according to client's wishes | Also offers renovation/fit-out of premises,"Appears under both 'Renaissance' and 'Renaissance Design' names across directories (Yandex Maps, 2GIS, samcity.uz, Facebook). 2GIS categorizes it under interior design, architectural design and premises renovation."
No,Stildi Interior Studio,Samarkand,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,+998 97 925 32 36,Samarkand (exact address not published),Instagram,Russian,https://www.instagram.com/diyora_vagizova/ ; https://2gis.uz/samarkand/firm/70000001095137355,Not determinable,"Design of houses, apartments and commercial spaces | Founder Diyora Vagizova also teaches interior design at KIUT university | Personal-brand studio with active Instagram presence","Studio also appears on 2GIS as 'Стильdi, дизайн-студия'. Founder-led boutique studio rather than a large firm."
No,Studio 662,Samarkand,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install,,+998 99 662 06 62,Samarkand (exact address not published),Instagram,Russian,https://www.instagram.com/studio_662/,Not determinable,"Design projects and turnkey renovation ('Ремонт под ключ') | 7,300+ Instagram followers, 311 posts — established local presence | Owner-operated studio (@bekzod_662_)",
No,ID Studio,Samarkand,Interior Designer,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,,"Samarkand, Prospekt Zarafshan",Website,Russian,https://yandex.ru/maps/10334/samarkand/category/interior_design/184107539/,Not determinable,"Listed under Samarkand interior-design category on Yandex Maps, rating 3.9",Very limited public information found beyond directory listing; included as a best-available candidate for the Interior Designer category.
No,MAG PROJECTING,Samarkand,Hybrid,Architecture + Interior Design + Branding studio,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,Starting price stated: 'от 104 000 UZS/м2' for a single floor-plan solution (3D),Design only,,,Not determinable (studio serves Uzbekistan-wide clients),Website,Russian,http://mag.pro.tilda.ws/,Not determinable,"Architecture, interior design and branding under one roof | Hundreds of realized projects in Uzbekistan and abroad | Full cycle from concept to realization",Site does not confirm a Samarkand physical office; found via Samarkand-targeted search so likely serves the city but HQ location unconfirmed.
No,Samarkand Design Studio,Samarkand,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,Houzz profile lists 'Typical Job Cost $7-10' (data likely incomplete/unreliable),Design+Build,,+998 91 519 52 42,"Samarkand, Massiv, ul. Turkistanskaya 157",Multiple,Russian/English,https://yandex.ru/maps/org/samarkand_design_studio/102086098474/ ; https://www.houzz.com/professionals/design-build-firms/samarkand-design-studio-pfvwus-pf~2116186988 ; https://www.facebook.com/Samarkand.design.studio/,Not determinable,"Listed on Houzz as a design-build firm, principal Shakhram Gulyamov | Interior and exterior design with authorial supervision, 10 years of experience claimed on Instagram | Typical job cost on Houzz listed at $7-10 (per design unit, likely truncated/unreliable data)","Same entity/phone number appears at two different Yandex Maps addresses (Turkistanskaya 157 and a second listing); may have relocated or have two branches. Houzz profile oddly lists a New York, NY address field, likely a platform default rather than an actual US location."
No,ARKH BYURO Samarkand (@lartdudizayn),Samarkand,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,+998 97 910 80 50,"Samarkand, Mingtut 20 (Silk Road area)",Instagram,Russian,https://www.instagram.com/lartdudizayn/,Not determinable,Positions itself explicitly as an architecture bureau ('АРХ БЮРО') based in Samarkand's old city/Silk Road center,"Small Instagram-only presence (297 followers), boutique/independent architect."
No,Luxhouse.uz — Samarkand,Samarkand,Architecture Studio,,C. Boutique Interior Design & Architecture Studios,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,Not determinable (Samarkand branch page has no explicit local address),Website,Russian,https://luxhouse.uz/samarkand,Not determinable,Professional architectural planning and design services for residential and commercial projects | Also offers landscaping/improvement design and 3D tours | Operates a dedicated Samarkand city landing page,"This appears to be a regional multi-city network with branches in Kazakhstan (Astana, Almaty), Uzbekistan (Tashkent, Namangan, Samarkand) and Russia — likely a franchise/lead-gen network rather than a purely local independent Samarkand studio. Verify genuine local presence/office before outreach."
No,Elite Building,Samarkand,Hybrid,Contractor + Real Estate Developer,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,"Website lead form budget bands go up to '$80K+', and one project is explicitly branded 'Qorasuv Premium' | v2.0: resolved from ""Medium-High (mixed signals)"" -> High.",Design+Build+Develop,,+998 78 555 11 77,"Samarkand, Rudakiy ko'chasi 175 (also a second office at Qorasuv dahasi 110)",Multiple,Uzbek/Russian,https://elite-building.uz/kompaniya ; https://www.instagram.com/elitebuilding.uz/ ; https://uysot.uz/uz/zastroyshiki/elite-building,Not determinable,"10 years in business (since 2015), 2,500+ apartments delivered, 1,000+ employees, 7 projects | Completed/active projects: Qizil Domlar (Titanik), Qorasuv Premium, Orzular Makoni, Centrum Guliston, Orifon | Contact form segments leads by budget tiers up to $80K+, indicating mid-to-premium apartment offering",One of the more established and active developer/contractor hybrids in Samarkand with a modern branded website and active Telegram channel (@orzularmakoni_eb).
No,Home Decor (@remont_v_samarkande),Samarkand,Contractor,,D. Contractors / EPC Firms,Retail,,Not determinable,,Medium,Not determinable,Design+Build,,+998 91 556 99 95,Samarkand (exact address not published),Instagram,Russian,https://www.instagram.com/remont_v_samarkande/,Not determinable,"Self-described as 'СТРОИТЕЛЬНАЯ КОМПАНИЯ HOME DECOR' | Turnkey apartment/office renovation, interior design, turnkey construction | Also active on Telegram",
No,Global Avenue,Samarkand,Hybrid,Contractor + Real Estate Developer,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,Explicit 'бизнес-класса' (business class) positioning and limited penthouse units messaging,Design+Build+Develop,,+998 66 230 00 08 / +998 78 113 09 79,"Samarkand, ul. M37a area",Instagram,Russian/Uzbek,https://www.instagram.com/global_avenue_uz/,Not determinable,"'Дома, построенные с любовью' — new residential developments in Samarkand | Building a 12-story, 516-apartment residential complex as part of a large-scale renovation area | Business-class comfort positioning, limited penthouse units available",
No,Ulug Siymo Qurilish,Samarkand,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,Medium,Not determinable,Design+Build+Develop,,,Samarkand (exact address not published),Website,Russian,https://www.samcity.uz/catalog/category/stroitelnye-kompanii,Not determinable,"In business since 2015, described as a leading developer company in Samarkand | Builds profitable/cost-effective residential objects",Limited detail beyond directory description; worth direct follow-up to confirm segment positioning.
No,"TXT Group (developer of Havas Premium, Brilliant City Samarkand)",Samarkand,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,Explicit premium-class ('премиум-класса') project branding for two Samarkand developments,Design+Build+Develop,,,Samarkand (project-based; group has international sales offices per txt.group site),Website,Russian,https://salomuy.uz/ru/housing-estate/201500 ; https://www.txt.group/search.html?project=Brilliant%20City,Not determinable,"Havas Premium described as a 'majestic and exclusive premium-class residential complex' in Samarkand | Also developing Brilliant City in Samarkand, marketed at Comfort/Premium class tiers | International developer group with multiple sales offices","TXT Group operates across multiple CIS markets; Samarkand presence is project-specific (Havas Premium, Brilliant City)."
No,SXF Samarkand City Stroy (developer of ZhK Samarqand City),Samarkand,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,Explicit premium-class ('премиум-класса') project positioning,Design+Build+Develop,,,"Samarkand, ul. Amira Temura 83",Website,Russian,https://urbo.uz/developers/sxf-samarkand-city-stroy-ru-47 ; https://salomuy.uz/ru/housing-estate/201535 ; https://immo.uz/novostroyki/zhk-samarqand-city__74,Not determinable,"Large-scale premium-class residential complex 'Samarqand City' in the center of Samarkand | Mixed-use: residential blocks, parks, shops, hotels and business centers | Claims use of energy-efficient construction methods",One of the largest mixed-use development projects identified in central Samarkand.
No,SAM HOUSE (developer of ZhK SAM ROS STORY),Samarkand,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (E. Developers & Project Ecosystem) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Develop,,,"Samarkand, Qorasuv district",Website,Russian,https://uysot.uz/jurnal/top-15-novostroek-samarkanda-64 ; https://domtut.uz/agentstvo/sam-house,Not determinable,Ranked #1 in a 'Top-15 new developments in Samarkand' industry roundup (uysot.uz) | Developer of ZhK SAM ROS STORY in the Qorasuv district,Limited data beyond ranking listing; included as a best-available candidate given prominence in the Top-15 list.
No,STORY DOM SIYOB (developer of ZhK Gagarin Avenue),Samarkand,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,Medium,Listed with 'elit' class tag in the Top-15 ranking,Develop,,,Not determinable,Website,Russian,https://uysot.uz/jurnal/top-15-novostroek-samarkanda-64,Not determinable,"Ranked #2 in the 'Top-15 new developments in Samarkand' roundup (uysot.uz), positioned as 'elit' (elite) class | Developer of ZhK Gagarin Avenue",Very limited independent data found beyond the ranking source; recommend further verification before outreach.
Yes,Kale Gallery Samarkand,Samarkand,Kitchen & Bath,"Multi-brand bathroom/tile & sanitaryware showroom, official distributor of imported (Turkish) brand",A. Premium Materials & Bath Showrooms,Retail,,Yes,"Physical showroom address given (Buyuk Ipak Yo'li 26, opposite the city gas company 'Gorgaz'); Telegram channel documents showroom interior/product photos (1,090+ photos).",High,Positions as 'exclusive' distributor of an imported premium brand,Design+Install+Supply,,+998 97 390 66 66,"Samarkand, Buyuk Ipak Yo'li 26 (landmark: opposite Gorgaz)",Telegram,Russian/Uzbek,https://t.me/s/kalegallery_samarkand ; https://www.facebook.com/kalegallery.samarkand/ ; http://www.kale.uz/,Kale (Turkish sanitaryware/tile/bathroom-furniture brand); GROHE referenced in an associated Facebook post about Kazakhstan operations of the same distributor group,"'Впервые в Самарканде' — first official distributor of this Turkish sanitaryware/tile/bathroom-furniture brand in the city | Exclusive sanitaryware, tile and bathroom furniture ('Эксклюзивная сантехника, кафель и мебель для ванных комнат') | Offers free 3D project design and free delivery","Strongest Kitchen & Bath / materials showroom candidate found in Samarkand — has a real street-level showroom, an official import/distribution relationship, and active social presence across Telegram, Instagram and Facebook."
Yes,Liberty (Мебель Либерти / TEAM LIBERTY),Samarkand,Hybrid,Custom kitchen/furniture factory + engineered quartz & acrylic stone showroom (authorized dealer),A. Premium Materials & Bath Showrooms,Retail,,Yes,Listed as an official 'nearest dealer' with street address on the Interstone.uz dealer-locator page for its quartz/acrylic stone products; also has a factory/showroom address for the furniture business.,High,"Instagram bio mentions 'Доступные цены' (affordable prices) — positions closer to accessible/mid segment rather than ultra-premium | v2.0: resolved from ""Medium-High (mixed signals)"" -> High.",Design+Install+Supply,,+998 91 543 77 33 / +998 90 213 76 90,"Samarkand, ul. Beruni 99 (furniture); ul. Mirzo Bedila 19 (TEAM LIBERTY stone showroom — same phone as furniture business)",Telegram,Russian,https://t.me/s/libertymebel ; https://interstone.uz/buy-products ; https://www.instagram.com/liberty.uzbekistan/,"Interstone (Avant Quartz, Noblle Quartz engineered quartz; GRANDEX, NEOMARM acrylic stone)","15 years of experience; custom kitchens, wardrobes, bedrooms, turnkey furniture | Manufactures countertops, windowsills, bar counters from engineered quartz stone | Authorized Samarkand dealer for the Interstone quartz/acrylic stone brand (listed as 'TEAM LIBERTY')","Same phone number (+998 90 213 76 90) links the furniture factory ('Мебель Либерти') and the quartz/acrylic stone dealer listing ('TEAM LIBERTY') on Interstone's site — very likely the same company operating both a furniture/kitchen line and a stone-surfaces showroom, making it a relevant dual-typology contact for kitchen/countertop distribution."
No,Brand Stone Samarkand,Samarkand,Kitchen & Bath,,A. Premium Materials & Bath Showrooms,Retail,,Not determinable,,High,"v2.0: inferred from segment positioning (A. Premium Materials & Bath Showrooms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design+Install+Supply,,,Samarkand (exact address not published),Instagram,Russian,https://www.instagram.com/brand_stone_3132/,Acrylic and quartz artificial stone (own brand 'Brand Stone'),Artificial stone: acrylic and quartz | Manufactures countertops for kitchens and bathrooms,
No,Adavit Santehnika,Samarkand,Kitchen & Bath,,A. Premium Materials & Bath Showrooms,Retail,,Yes,"Two physical shop addresses published in Instagram bio: Buyuk Ipak Yoli 11 and Gagarina 29, Samarkand.",High,Explicit 'премиум-класса' (premium class) self-positioning,Not determinable,,+998 91 297 97 10 / +998 91 555 44 43,"Samarkand, Buyuk Ipak Yoli 11 and Gagarina 29 (two locations)",Instagram,Russian,https://www.instagram.com/adavit_santexnika/,Not determinable (brand names not specified in available snippets),'Магазин премиальной сантехники' — explicitly branded as a premium sanitaryware store | Acrylic bathtubs and jacuzzis in various shapes/colors | Two retail locations in Samarkand,"Premium bathroom-fixtures retail showroom, not a design studio; classified as Kitchen & Bath as the closest fit to a materials showroom."
No,ORSI PREMIUM,Samarkand,Hybrid,Materials/furniture showroom (exclusive/premium furniture retail),A. Premium Materials & Bath Showrooms,Retail,,Yes,Instagram bio explicitly references a 'шоурум' (showroom) with a full street address in Samarkand.,High,Name and bio explicitly signal premium/exclusive positioning,Not determinable,,+998 55 706 20 00,"Samarkand, ul. Gagarina 101A",Instagram,Russian,https://www.instagram.com/orsi_premium/,Not determinable,'ORSI PREMIUM | ЭКСКЛЮЗИВНЫЕ МЕБЕЛИ' — exclusive furniture positioning | Dedicated street-front showroom in Samarkand,Premium/exclusive furniture retail showroom; classified as Hybrid since 'materials/furniture showroom' is not a standalone typology option.
No,Prime Ceramics,Samarkand,Hybrid,"Materials showroom/manufacturer (premium porcelain/ceramic tile, sold via distributors and own web store)",A. Premium Materials & Bath Showrooms,Retail,,Not determinable,Primarily a factory (Farhad industrial zone); retail exposure is mainly through distributor showrooms in Uzbekistan/Russia and its own e-commerce site rather than a confirmed factory-side showroom.,High,"v2.0: inferred from segment positioning (A. Premium Materials & Bath Showrooms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,info@primeceramics.uz (partially masked in source: 'i***********@primeceramics.uz'),+998 97 721 70 07 / +998 93 356 50 70,"Samarkand, Farhad settlement (industrial zone)",Website,Russian,https://keramogranituz.com/ ; https://uzsm.uz/ru/about/organizations/ip-ooo-prime-ceramics/ ; https://www.rusplitka.ru/news/novaya-fabrika-prime-ceramics/,Own brand 'Prime Ceramics' porcelain tile; product also distributed via Global Tile / rusplitka.ru / Art Centre Moscow under a 'Samarkand' collection name,"Uzbek company producing and selling ceramic/porcelain tile, factory based in Samarkand | Uses modern Italian equipment per promotional material | Exports to Russia and other markets via distributor networks","This is a manufacturer/wholesaler of ceramic/porcelain tile rather than a design studio, classified as Hybrid/materials showroom. Could be a manufacturing partner or competitor-adjacent contact rather than a retail placement point of sale."
No,Sina Lux Tile,Samarkand,Hybrid,Materials showroom (ceramic tile retail),A. Premium Materials & Bath Showrooms,Retail,,Not determinable,,High,"v2.0: inferred from segment positioning (A. Premium Materials & Bath Showrooms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,,"Samarkand, Rudaki Street 175B",Website,English/Russian,https://yandex.com/maps/org/sina_lux_tile/35208378115/,Not determinable,Listed as a ceramic tile retailer on Yandex Maps,Minimal public data found beyond directory listing; classified as Hybrid/materials showroom. Included as a best-available candidate to round out the materials-showroom category.
No,Reverem House,Andijan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,Likely has a sales office for model apartments (common for developers in Uzbekistan) but no direct evidence found of a physical showroom.,Medium,"Comfort class, mid-range pricing ($483-595/m2)",Design+Build+Develop,,,"Andijan City, A. Musaev St.",Website,Russian,https://realting.uz/andijon-city/new-buildings,,"Developer of multiple comfort-class residential complexes in Andijan (Yangi Hayot, Sokin City, Reverem House) | Completed projects 2023-2024 | Prices from ~$483-595/m2 per listing aggregators","Found via realting.uz and immo.uz new-build aggregators. Developer name appears consistently across 3 projects (Yangi Hayot, Sokin City/Сокин Сити, Reverem House) all on A. Musaev St, Andijan. No direct company website or contact found; likely reachable via listing portals."
No,Shodlik Grand Buildings,Andijan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,Business class,Design+Build+Develop,,,"Andijan City, Bukhoro St. (Damaryk area)",Website,Russian,https://realting.uz/andijon-city/new-buildings,,"Builder of ЖК Shodlik Grand House, a 12-story business-class complex | 7 unique floor plans offered | Completed 2023/2024","Listed on realting.uz, immo.uz, uysot.uz. No direct contact info found in search results."
No,Star House Buildings,Andijan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,Medium,Comfort/mid-range ($483-563/m2),Design+Build+Develop,,,Andijan City (Karatut / Shurbulak areas),Website,Russian,https://realting.uz/andijon-city/new-buildings,,Developer of ЖК Emir (Karatut) and ЖК Star House Andijon (Shurbulak) | Completed 2024 | Prices from ~$483-563/m2,Two projects attributed to this developer on realting.uz aggregator listings for Andijan.
No,Tojmahal Inshoat (ТОЖМАХАЛ),Andijan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,Business class,Design+Build+Develop,,,"Andijan City, 5th Microdistrict, Furkat St.",Website,Russian,https://immo.uz/andijanskaya-oblast/novostroyki,,"Developer of ЖК TOJMAHAL, a business-class residential complex in central Andijan | Completed 2023","Consistently listed across realting.uz, immo.uz, salomuy.uz aggregators as a business-class Andijan project."
No,Milliard House,Andijan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,Business class,Design+Build+Develop,,,"Andijan City, Mashrab St. (Shurbulak area)",Website,Russian,https://immo.uz/andijanskaya-oblast/novostroyki,,"Developer of ЖК Milliard House, business class | Completion scheduled Q4 2026 (still under construction — potential future sample placement opportunity)","Under construction with completion targeted late 2026, making it a good near-term prospect for material specification during finishing stage."
No,Muhtasham Uylar,Andijan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,Medium,Comfort class,Design+Build+Develop,,,"Andijan region, Furkat St. (Karatut area)",Website,Russian,https://realting.uz/andijon-city/new-buildings,,"Developer of ЖК Muhtasham Uylar, comfort class | Completed 2024",Listed on realting.uz/immo.uz aggregators; limited independent info available.
No,"OOO Marin Busines Trade (developer of ЖК ""Old City"")",Andijan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,"Elite / premium class (explicitly labeled ""Elite"" by aggregator)",Design+Build+Develop,,,"Andijan City, Abdurauf Fitrat St.",Website,Russian,https://immo.uz/andijanskaya-oblast/novostroyki,,"Developer of ЖК ""Old City"", classified as Elite (premium) class — highest tier found among Andijan residential projects | Completed 2024 | Prices from ~$475/m2","Only Andijan project explicitly classified as ""Elite"" class in the immo.uz taxonomy, making this the strongest premium-positioning developer signal found for the city."
No,MELAGRANA CONSTRUCTIONS MCHJ (developer of ЖК Emir),Andijan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,"Business class, delivered with finishing (""с отделкой"")",Design+Build+Develop,,,Andijan City,Website,Russian,https://uysot.uz/andijan/novostroyki/emir-107,,"Business-class complex, frame-block construction, delivered with finishing | 9 floors, individual heating, security, parking, elevator | Completed 2024","Delivering apartments ""with finishing"" is a notable signal — developer controls interior material specification directly, a strong B2B entry point for premium surface brands."
No,TXT Group (developer of ЖК Sohil Bo'yi Andijon),Andijan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,Medium,"Comfort class, multi-city developer scale suggests standardized procurement",Design+Build+Develop,,,"Andijan region, Andijan City, Omad St. 691",Website,Russian,https://salomuy.uz/ru/housing-estate/201515,,"Large national developer active in 10+ districts/cities of Uzbekistan | ЖК SOHIL BO'YI ANDIJON is a comfort-class complex, completion Q4 2026 | Positioned as modern, spacious apartments with quality landscaping","TXT Group's multi-region footprint makes it a candidate for a broader national partnership beyond Andijan alone, in addition to this specific project."
No,"Sanderson City (developer/investor, ""Yangi Andijon"" project)",Andijan,Developer,Master-planned satellite city / mixed-use mega-development,E. Developers & Project Ecosystem,Retail,,Not determinable,,High,Large-scale premium mixed-use development — highest single investment figure found for Andijan real estate,Design+Build+Develop,,,"Yangi Andijon (New Andijan), Andijan region",Website,Uzbek,https://www.gazeta.uz/oz/2026/07/26/yangi-andijon/,,"$300M investment agreement with Korea's U&K Global for a residential complex, recreation park and water park in ""Yangi Andijon"" (New Andijan) | Phase 1 ($45M) includes a modern rest park and international-standard water park | Opening targeted for March 2028 (Nowruz)","This is the single largest and most premium real-estate development project identified in Andijan. Headed locally by Bobirbek Sohibov. Given the scale and multi-year build timeline, this is a high-priority strategic contact for future material specification, though the residential component's finishing standard is not yet confirmed."
No,RAYONA 2018,Andijan,Developer,,E. Developers & Project Ecosystem,Retail,,Not determinable,,Medium,Not determinable,Design+Build+Develop,,,"Andijan region, Kushariq",Website,Russian,https://realting.uz/andijon-city/new-buildings,,Developer of ЖК RAYONA 2018 | Price on request,Minimal information available beyond aggregator listing.
No,Hammer LTD,Andijan,Contractor,,D. Contractors / EPC Firms,Retail,,Not determinable,,Medium,"v2.0: inferred from segment positioning (D. Contractors / EPC Firms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,+998 (90) 611-XX-XX,"Andijan region, Andijan, T. Keldiev St. 78",Website,Russian,https://www.goldenpages.uz/en/rubrics/?Id=3901,,Listed as a construction/construction-repair organization in the Golden Pages Andijan directory,"Phone number partially masked by directory (last digits require registered account access). No further detail found; general construction/repair firm, segment tier unconfirmed."
