id_actor,name,city,typology,typology_detail,channel,canal_secundario,physical_exhibition,exhibition_evidence,price_range,price_signal,service_scope,email,phone,address,main_channel,source_language,source_url,materials_brands_mentioned,key_messages,raw_notes,data_source,tool_used,priority_candidate_v2,_source_file,is_priority,priority_rank,entry_angle,project_role
ulug-siymo-qurilish-samarkand,Ulug Siymo Qurilish,Samarkand,Developer,,Proyectos,,Not determinable,,Medium,Not determinable,Design+Build+Develop,,,Samarkand (exact address not published),Website,Russian,https://www.samcity.uz/catalog/category/stroitelnye-kompanii,Not determinable,"In business since 2015, described as a leading developer company in Samarkand | Builds profitable/cost-effective residential objects","Limited detail beyond directory description; worth direct follow-up to confirm segment positioning. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
txt-group-developer-of-havas-premium-brilliant-city-samarkand-samarkand,"TXT Group (developer of Havas Premium, Brilliant City Samarkand)",Samarkand,Developer,,Proyectos,,Not determinable,,High,Explicit premium-class ('премиум-класса') project branding for two Samarkand developments,Design+Build+Develop,,,Samarkand (project-based; group has international sales offices per txt.group site),Website,Russian,https://salomuy.uz/ru/housing-estate/201500 ; https://www.txt.group/search.html?project=Brilliant%20City,Not determinable,"Havas Premium described as a 'majestic and exclusive premium-class residential complex' in Samarkand | Also developing Brilliant City in Samarkand, marketed at Comfort/Premium class tiers | International developer group with multiple sales offices","TXT Group operates across multiple CIS markets; Samarkand presence is project-specific (Havas Premium, Brilliant City). | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
sxf-samarkand-city-stroy-developer-of-zhk-samarqand-city-samarkand,SXF Samarkand City Stroy (developer of ZhK Samarqand City),Samarkand,Developer,,Proyectos,,Not determinable,,High,Explicit premium-class ('премиум-класса') project positioning,Design+Build+Develop,,,"Samarkand, ul. Amira Temura 83",Website,Russian,https://urbo.uz/developers/sxf-samarkand-city-stroy-ru-47 ; https://salomuy.uz/ru/housing-estate/201535 ; https://immo.uz/novostroyki/zhk-samarqand-city__74,Not determinable,"Large-scale premium-class residential complex 'Samarqand City' in the center of Samarkand | Mixed-use: residential blocks, parks, shops, hotels and business centers | Claims use of energy-efficient construction methods","One of the largest mixed-use development projects identified in central Samarkand. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
sam-house-developer-of-zhk-sam-ros-story-samarkand,SAM HOUSE (developer of ZhK SAM ROS STORY),Samarkand,Developer,,Proyectos,,Not determinable,,Medium,"v2.0: inferred from segment positioning (E. Developers & Project Ecosystem) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Develop,,,"Samarkand, Qorasuv district",Website,Russian,https://uysot.uz/jurnal/top-15-novostroek-samarkanda-64 ; https://domtut.uz/agentstvo/sam-house,Not determinable,Ranked #1 in a 'Top-15 new developments in Samarkand' industry roundup (uysot.uz) | Developer of ZhK SAM ROS STORY in the Qorasuv district,"Limited data beyond ranking listing; included as a best-available candidate given prominence in the Top-15 list. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
story-dom-siyob-developer-of-zhk-gagarin-avenue-samarkand,STORY DOM SIYOB (developer of ZhK Gagarin Avenue),Samarkand,Developer,,Proyectos,,Not determinable,,Medium,Listed with 'elit' class tag in the Top-15 ranking,Develop,,,Not determinable,Website,Russian,https://uysot.uz/jurnal/top-15-novostroek-samarkanda-64,Not determinable,"Ranked #2 in the 'Top-15 new developments in Samarkand' roundup (uysot.uz), positioned as 'elit' (elite) class | Developer of ZhK Gagarin Avenue","Very limited independent data found beyond the ranking source; recommend further verification before outreach. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
reverem-house-andijan,Reverem House,Andijan,Developer,,Proyectos,,Not determinable,Likely has a sales office for model apartments (common for developers in Uzbekistan) but no direct evidence found of a physical showroom.,Medium,"Comfort class, mid-range pricing ($483-595/m2)",Design+Build+Develop,,,"Andijan City, A. Musaev St.",Website,Russian,https://realting.uz/andijon-city/new-buildings,,"Developer of multiple comfort-class residential complexes in Andijan (Yangi Hayot, Sokin City, Reverem House) | Completed projects 2023-2024 | Prices from ~$483-595/m2 per listing aggregators","Found via realting.uz and immo.uz new-build aggregators. Developer name appears consistently across 3 projects (Yangi Hayot, Sokin City/Сокин Сити, Reverem House) all on A. Musaev St, Andijan. No direct company website or contact found; likely reachable via listing portals. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
shodlik-grand-buildings-andijan,Shodlik Grand Buildings,Andijan,Developer,,Proyectos,,Not determinable,,High,Business class,Design+Build+Develop,,,"Andijan City, Bukhoro St. (Damaryk area)",Website,Russian,https://realting.uz/andijon-city/new-buildings,,"Builder of ЖК Shodlik Grand House, a 12-story business-class complex | 7 unique floor plans offered | Completed 2023/2024","Listed on realting.uz, immo.uz, uysot.uz. No direct contact info found in search results. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
star-house-buildings-andijan,Star House Buildings,Andijan,Developer,,Proyectos,,Not determinable,,Medium,Comfort/mid-range ($483-563/m2),Design+Build+Develop,,,Andijan City (Karatut / Shurbulak areas),Website,Russian,https://realting.uz/andijon-city/new-buildings,,Developer of ЖК Emir (Karatut) and ЖК Star House Andijon (Shurbulak) | Completed 2024 | Prices from ~$483-563/m2,"Two projects attributed to this developer on realting.uz aggregator listings for Andijan. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
tojmahal-inshoat-andijan,Tojmahal Inshoat (ТОЖМАХАЛ),Andijan,Developer,,Proyectos,,Not determinable,,High,Business class,Design+Build+Develop,,,"Andijan City, 5th Microdistrict, Furkat St.",Website,Russian,https://immo.uz/andijanskaya-oblast/novostroyki,,"Developer of ЖК TOJMAHAL, a business-class residential complex in central Andijan | Completed 2023","Consistently listed across realting.uz, immo.uz, salomuy.uz aggregators as a business-class Andijan project. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
milliard-house-andijan,Milliard House,Andijan,Developer,,Proyectos,,Not determinable,,High,Business class,Design+Build+Develop,,,"Andijan City, Mashrab St. (Shurbulak area)",Website,Russian,https://immo.uz/andijanskaya-oblast/novostroyki,,"Developer of ЖК Milliard House, business class | Completion scheduled Q4 2026 (still under construction — potential future sample placement opportunity)","Under construction with completion targeted late 2026, making it a good near-term prospect for material specification during finishing stage. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
muhtasham-uylar-andijan,Muhtasham Uylar,Andijan,Developer,,Proyectos,,Not determinable,,Medium,Comfort class,Design+Build+Develop,,,"Andijan region, Furkat St. (Karatut area)",Website,Russian,https://realting.uz/andijon-city/new-buildings,,"Developer of ЖК Muhtasham Uylar, comfort class | Completed 2024","Listed on realting.uz/immo.uz aggregators; limited independent info available. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
ooo-marin-busines-trade-developer-of-old-city-andijan,"OOO Marin Busines Trade (developer of ЖК ""Old City"")",Andijan,Developer,,Proyectos,,Not determinable,,High,"Elite / premium class (explicitly labeled ""Elite"" by aggregator)",Design+Build+Develop,,,"Andijan City, Abdurauf Fitrat St.",Website,Russian,https://immo.uz/andijanskaya-oblast/novostroyki,,"Developer of ЖК ""Old City"", classified as Elite (premium) class — highest tier found among Andijan residential projects | Completed 2024 | Prices from ~$475/m2","Only Andijan project explicitly classified as ""Elite"" class in the immo.uz taxonomy, making this the strongest premium-positioning developer signal found for the city. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
melagrana-constructions-mchj-developer-of-emir-andijan,MELAGRANA CONSTRUCTIONS MCHJ (developer of ЖК Emir),Andijan,Developer,,Proyectos,,Not determinable,,High,"Business class, delivered with finishing (""с отделкой"")",Design+Build+Develop,,,Andijan City,Website,Russian,https://uysot.uz/andijan/novostroyki/emir-107,,"Business-class complex, frame-block construction, delivered with finishing | 9 floors, individual heating, security, parking, elevator | Completed 2024","Delivering apartments ""with finishing"" is a notable signal — developer controls interior material specification directly, a strong B2B entry point for premium surface brands. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
txt-group-developer-of-sohil-bo-yi-andijon-andijan,TXT Group (developer of ЖК Sohil Bo'yi Andijon),Andijan,Developer,,Proyectos,,Not determinable,,Medium,"Comfort class, multi-city developer scale suggests standardized procurement",Design+Build+Develop,,,"Andijan region, Andijan City, Omad St. 691",Website,Russian,https://salomuy.uz/ru/housing-estate/201515,,"Large national developer active in 10+ districts/cities of Uzbekistan | ЖК SOHIL BO'YI ANDIJON is a comfort-class complex, completion Q4 2026 | Positioned as modern, spacious apartments with quality landscaping","TXT Group's multi-region footprint makes it a candidate for a broader national partnership beyond Andijan alone, in addition to this specific project. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
sanderson-city-developer-investor-yangi-andijon-project-andijan,"Sanderson City (developer/investor, ""Yangi Andijon"" project)",Andijan,Developer,Master-planned satellite city / mixed-use mega-development,Proyectos,,Not determinable,,High,Large-scale premium mixed-use development — highest single investment figure found for Andijan real estate,Design+Build+Develop,,,"Yangi Andijon (New Andijan), Andijan region",Website,Uzbek,https://www.gazeta.uz/oz/2026/07/26/yangi-andijon/,,"$300M investment agreement with Korea's U&K Global for a residential complex, recreation park and water park in ""Yangi Andijon"" (New Andijan) | Phase 1 ($45M) includes a modern rest park and international-standard water park | Opening targeted for March 2028 (Nowruz)","This is the single largest and most premium real-estate development project identified in Andijan. Headed locally by Bobirbek Sohibov. Given the scale and multi-year build timeline, this is a high-priority strategic contact for future material specification, though the residential component's finishing standard is not yet confirmed. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
rayona-2018-andijan,RAYONA 2018,Andijan,Developer,,Proyectos,,Not determinable,,Medium,Not determinable,Design+Build+Develop,,,"Andijan region, Kushariq",Website,Russian,https://realting.uz/andijon-city/new-buildings,,Developer of ЖК RAYONA 2018 | Price on request,"Minimal information available beyond aggregator listing. | v3.0 reclass: typology ""Developer"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
hammer-ltd-andijan,Hammer LTD,Andijan,Contractor,,Proyectos,,Not determinable,,Medium,"v2.0: inferred from segment positioning (D. Contractors / EPC Firms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,+998 (90) 611-XX-XX,"Andijan region, Andijan, T. Keldiev St. 78",Website,Russian,https://www.goldenpages.uz/en/rubrics/?Id=3901,,Listed as a construction/construction-repair organization in the Golden Pages Andijan directory,"Phone number partially masked by directory (last digits require registered account access). No further detail found; general construction/repair firm, segment tier unconfirmed. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
binokor-komfort-ltd-andijan,Binokor-Komfort LTD,Andijan,Contractor,,Proyectos,,Not determinable,,Medium,"v2.0: inferred from segment positioning (D. Contractors / EPC Firms) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Not determinable,,+998 (90) 544-XX-XX,"Andijan region, Andijan, Yuldashev St. 35",Website,Russian,https://www.goldenpages.uz/en/rubrics/?Id=3901,,"""Komfort"" (comfort) branding in company name suggests residential renovation/finishing focus | Listed as construction/construction-repair organization in Andijan","Phone partially masked by directory. Name suggests comfort/finishing-oriented contractor rather than heavy civil works. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
premier-group-stroy-ltd-andijan,Premier-Group Stroy LTD,Andijan,Contractor,,Proyectos,,Not determinable,,High,"Name signals premium positioning (""Premier-Group"")",Not determinable,,+998 (93) 571-XX-XX,"Andijan region, Andijan, Mukanna St. 15",Website,Russian,https://www.goldenpages.uz/en/rubrics/?Id=3901,,"""Premier"" branding suggests upscale positioning | Listed as construction/construction-repair organization in Andijan","Phone partially masked by directory. Name is the strongest premium-positioning signal among the Golden Pages contractor listings. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
gulshan-savdo-elit-ltd-andijan,Gulshan Savdo Elit LTD,Andijan,Contractor,,Proyectos,,Not determinable,,High,"Name signals premium positioning (""Elit"")",Not determinable,,+998 (91) 610-XX-XX,"Andijan region, Andijan district, Khakan l.g.c.",Website,Russian,https://www.goldenpages.uz/en/rubrics/?Id=3901,,"""Elit"" in company name suggests premium/upscale positioning | Listed as construction/construction-repair organization in Andijan, with posted business hours (09:00-18:00)","Phone partially masked by directory. | v3.0 reclass: typology ""Contractor"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
arhitektor-uz-andijan,Arhitektor.uz,Andijan,Architecture Studio,Tashkent-headquartered architecture/design bureau with a completed project in Andijan,Proyectos,,No,"Studio/office model, project-based; no indication of a physical materials showroom.",Medium,Not determinable,Design+Build,,,HQ Tashkent; portfolio includes a private two-story house project in Andijan,Website,Russian,https://arhitektor.uz/,,10 years creating design projects for residential and commercial spaces | Portfolio includes a private two-story house in Andijan | Full architecture + interior design service offering,"IMPORTANT CAVEAT: this bureau is Tashkent-based, not an Andijan-local business — it is included as the best available evidence of professional architecture services being delivered to Andijan clients, since no architecture bureau physically headquartered in Andijan could be confirmed despite extensive multi-language searching (Russian, Uzbek, English) across web, Instagram, Facebook and Telegram. This is flagged as a genuine market gap: Andijan appears to lack a distinct, independently discoverable architecture-studio segment; residential design in the city appears to be handled either by developers' in-house teams, Tashkent-based bureaus taking remote/regional commissions, or informal/freelance designers active mainly on Telegram and Instagram who were not individually identifiable via search. | v3.0 reclass: typology ""Architecture Studio"" is defined under the Proyectos canal in the new taxonomy; channel updated from ""Retail"" to ""Proyectos"".",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
cross-works-ltd-tashkent,Cross Works Ltd,Tashkent,Architecture Studio,,Proyectos,,Not determinable,"UK-based design studio (London); no evidence of a physical showroom/exhibition space in Uzbekistan, works through the New Tashkent Directorate.",Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"London, United Kingdom (project office linked to New Tashkent Directorate, Tashkent)",Website,English,https://en.wikipedia.org/wiki/New_Tashkent; https://cross-works.com/news/cross-works-new-tashkent-district-1-is-officially-approved; https://newtashkent.uz/ru/our-partners/partners,Not determinable,"Masterplan for a 25,000-hectare, 2.5 million-resident 'twin city' east of Tashkent | District 1 Detailed Masterplan officially approved June 2024 | Leads a multidisciplinary international consortium (engineering, landscape, advisory) for New Tashkent","Led by architect/urban planner Hakan Ceyhan Agca. First phase covers ~6,000 ha (target 2045); District 1 detailed plan covers a subset of that. Project overall targets 2.5M residents on 25,000 ha; government figures cite up to 19,720-20,000 ha total. Officially listed as a partner on newtashkent.uz.",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
buro-happold-tashkent,Buro Happold,Tashkent,Architecture Studio,Engineering / masterplanning consultancy,Proyectos,,Not determinable,"International engineering consultancy; no showroom/exhibition space identified, consultancy-only role.",Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"International (project delivered remotely / via New Tashkent Directorate, Tashkent)",Website,English,https://www.burohappold.com/projects/new-tashkent-masterplan/; https://newtashkent.uz/ru/our-partners/partners,Not determinable,"First 6,000 hectares of New Tashkent planned for development by 2045 | Delivered strategic review of the masterplan for infrastructure and sustainability | Official partner of the New Tashkent Directorate (quote from Simon Pilkington)","Named consortium member under Cross Works' New Tashkent District 1 masterplan team, alongside Gillespies, KPMG Uzbekistan and BuroAtlas.",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
gillespies-tashkent,Gillespies,Tashkent,Architecture Studio,Landscape architecture,Proyectos,,Not determinable,UK landscape architecture practice; no exhibition space identified locally.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"United Kingdom (project office linked to New Tashkent Directorate, Tashkent)",Website,English,https://www.gillespies.co.uk/; https://newtashkent.uz/ru/our-partners/partners; https://www.youtube.com/watch?v=C538LQhQU6Y,Not determinable,"Part of the Cross Works-led consortium for New Tashkent District 1 | Focus on landscape planning: 420-hectare Central Park, green belt, canals/lakes | Officially listed partner of the New Tashkent Directorate","New Tashkent's 'green city' concept includes a 420-hectare Central Park and ~30% of territory reserved for parks/squares, within Gillespies' scope.",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
buroatlas-tashkent,BuroAtlas,Tashkent,Architecture Studio,,Proyectos,,Not determinable,No showroom/exhibition space identified; design consultancy.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,Not determinable,Website,Russian/Uzbek,https://www.buroatlas.pro/; https://newtashkent.uz/ru/our-partners/partners,Not determinable,"New Tashkent described as 'a model of a new purpose-built city environment' combining top global practices | Emphasis on modern masterplanning, ecological approaches and technology | Officially listed partner of the New Tashkent Directorate",Founder/CEO Aleksandra Sitnikova quoted on newtashkent.uz partners page endorsing the project.,existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
meinhardt-group-tashkent,Meinhardt Group,Tashkent,Architecture Studio,Engineering & investment consultancy,Proyectos,,Not determinable,Singapore-headquartered engineering/investment firm; no local showroom identified.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"Singapore (regional engagement via New Tashkent Directorate, Tashkent)",Website,Russian,https://www.gazeta.uz/ru/2023/01/19/new-tashkent/; https://newtashkent.uz/ru/our-partners/partners,Not determinable,Signed ~$1B agreement to design Phase 1 masterplan of the 'smart city' New Tashkent | Joint Uzbekistan-Singapore design and engineering center announced | Executive director Omar Shahzad quoted as official Directorate partner,"510+ large infrastructure/industrial projects worldwide per company profile; ~5,000 employees. Agreement covered masterplan concept (Apr-May 2023) and detailed planning (Jul-Oct 2023) for Phase 1.",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
zaha-hadid-architects-tashkent,Zaha Hadid Architects,Tashkent,Architecture Studio,,Proyectos,,Not determinable,Global architecture firm; no local Tashkent showroom identified; design office only.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"London, United Kingdom",Website,English,https://www.zha.com/projects/architecture/alisher-navoi-international-scientific-research-centre; https://newtashkent.uz/ru/our-partners/partners,Sculptural brickwork facade (per project description),"Anchors the new cultural quarter within the 25,000-hectare New Tashkent masterplan | 23,000-29,000 sqm complex: Navoi State Museum of Literature, 400-seat auditorium, research center, school for 200 students | Officially listed partner of the New Tashkent Directorate (quote from director Paolo Matteuzzi)","One of the flagship 'signature' cultural buildings of New Tashkent's first phase; site area cited variably as 23,000 sqm or 29,000 sqm across sources.",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
dome-partners-tashkent,Dome+Partners,Tashkent,Architecture Studio,,Proyectos,,Not determinable,"Has a local Uzbekistan office per its own description, but no confirmed public showroom.",Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"Istanbul, Turkey (offices also in Uzbekistan and Kazakhstan)",Website,Uzbek,https://newtashkent.uz/ru/our-partners/partners; https://dome.ws/; https://www.instagram.com/p/ChJxh4-tZxg/,Not determinable,"20+ year track record of 'inspiring, innovative' architecture across Turkey/Central Asia | Officially listed as a partner ('Hamkor') of the New Tashkent Directorate | Prior 80,000 sqm mixed-use project for a private investor in Tashkent",Specific building assignment within New Tashkent not publicly confirmed beyond official partner listing; included due to explicit Directorate partnership.,existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
kentsel-strateji-ali-faruk-goksu-tashkent,Kentsel Strateji (Ali Faruk Göksü),Tashkent,Architecture Studio,Urban planning / strategy consultancy,Proyectos,,Not determinable,Turkish urban-strategy consultancy; no showroom/exhibition identified.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,Turkey,Website,Uzbek,https://newtashkent.uz/ru/our-partners/partners; https://kentselstrateji.com/en/projects/,Not determinable,New Tashkent framed as symbol of the 'Urban Renaissance' movement | Advocates ecologically smart design and new-generation economy for the project | Officially listed partner of the New Tashkent Directorate,Founding partner role; specific deliverable(s) within New Tashkent not itemized in sources found.,existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
gad-architecture-tashkent,GAD Architecture,Tashkent,Architecture Studio,,Proyectos,,Not determinable,Turkish architecture firm; no exhibition/showroom space identified for this project.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,,,"Istanbul, Turkey",Website,English,https://archello.com/project/new-tashkent-city; https://archello.com/brand/gad-architecture,Not determinable,"Masterplan vision for 'a new phase in the development of Tashkent' | Emphasis on sustainable development, green corridors, affordable housing | Double-skin facade strategy proposed for high-rise buildings",Not listed among the official newtashkent.uz partners; likely an early competing/alternate masterplan proposal rather than the adopted plan. Included due to explicit direct authorship of a 'New Tashkent City' masterplan.,existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
benoy-tashkent,Benoy,Tashkent,Architecture Studio,Masterplanning / landscape architecture,Proyectos,,Not determinable,Global masterplanning firm (Dubai/London/Shanghai/Singapore offices); no exhibition space identified for this project.,Medium,"v2.0: inferred from segment positioning (C. Boutique Interior Design & Architecture Studios) — no explicit price signal was found in the original source; treat as a soft default, not a confirmed price point.",Design only,marketing@benoy.com,,"Dubai, UAE (regional office) / London, Nottinghamshire, Mumbai, Shanghai, Singapore",Website,English,https://www.benoy.com/projects/tashkent-new-city/,Not determinable,"Vision for a 'new twin capital' east of Tashkent between the Chirchiq and Karasu rivers | First phase includes Airport City, Trade District, CBD and 300-hectare Administrative District | Masterplan approved by the President of Uzbekistan and Mayor of Tashkent at high level","Described project scale as 200,000,000 sqm on 20,000 hectares. Appears to be an earlier pre-concept stage, later superseded/complemented by Cross Works' more detailed District 1 masterplan.",existing_v2_reclassified,n/a (reclassification only),No,proyectos_dataset_seed.json,,,,
al-bina-development-tashkent,AL-BINA Development,Tashkent,Developer,,Proyectos,,Yes,"Central sales office ('Центральный офис продаж AL-BINA') at ЖК U-Tower, Tashkent, plus a dedicated Crystal Avenue sales office in New Tashkent.",High,Premium / business-class positioning (no published price list found),Design+Build+Develop,,+998 71 205 10 68,"Central sales office: ЖК U-Tower, Tashkent; project sales office: Crystal Avenue, New Tashkent",Instagram,Russian,https://www.instagram.com/al_bina.uz/; https://www.gazeta.uz/ru/2025/12/01/crystal-avenue/; https://crystal-avenue.uz/,Not determinable,Crystal Avenue positioned as 'the main avenue of the new capital' / 'smart luxury' | Strategic partnership with IMAN Holding announced for flexible payment/investment products | Sales for Crystal Avenue launched 6 December 2025,"Crystal Avenue located in District 1, New Tashkent's key growth cluster; described as AL-BINA's/UET's first business-class project in New Tashkent. AL-BINA's wider Tashkent portfolio (Maftun Makon, Flagman, 4U Tashkent with NRG-BI) appears located in a separate 'New Uzbekistan' district near Yashnabad/Olympic town, not confirmed as part of New Tashkent.",existing_v2_reclassified,n/a (reclassification only),Yes,proyectos_dataset_seed.json,,,,
uet-construction-tashkent,UET Construction,Tashkent,Hybrid,Contractor + Developer (EPC/construction company acting as co-developer),Proyectos,,Yes,Shares the Crystal Avenue project sales office in New Tashkent with AL-BINA; formal project presentation event held on-site at the New Tashkent Directorate (29 Nov 2025).,Medium,Not determinable,Design+Build+Develop,info@uetconstruction.com,+998 77 443 00 33 / +998 55 519 06 06,"HQ: Tashkent, Yakkasaray district, Abdulla Kahhara St 17; Crystal Avenue sales office, New Tashkent District 1",Multiple,English,https://uetconstruction.com/en/uet-construction-predstavila-proekt-crystal-avenue-premialnyj-zhiloj-kompleks-v-novom-tashkente/; https://www.linkedin.com/posts/uet-construction_uet-construction-is-proud-to-announce-the-activity-7401554215828885505-0ncq,Not determinable,Officially entered residential/commercial real estate with Crystal Avenue as its flagship project | Self-describes as a fast-growing engineering & construction (EPC) company | Crystal Avenue unveiled as 'a premium residential complex in New Tashkent',"Company site (uetconstruction.com) frames itself around 'Integrated EPC solutions for energy and...' sectors, with Crystal Avenue as its entry into residential development in New Tashkent. | v2.0 update: HQ contact confirmed via uetconstruction.com (ISO 14001/45001/9001 certified; owns Chirchik Metal Structures Plant production asset).",existing_v2_reclassified,n/a (reclassification only),Yes,proyectos_dataset_seed.json,,,,
